emotion,valence,arousal,source
afraid,-0.977,0.352,nrc_vad
alarmed,-0.624,0.644,nrc_vad
alert,-0.042,0.640,nrc_vad
amazed,0.592,0.558,nrc_vad
amused,0.884,0.694,nrc_vad
angry,-0.756,0.660,nrc_vad
annoyed,-0.792,0.566,nrc_vad
anxious,-0.438,0.750,nrc_vad
aroused,0.416,0.950,nrc_vad
ashamed,-0.688,0.176,nrc_vad
astonished,0.020,0.550,nrc_vad
at ease,0.064,-0.370,nrc_vad_mwe
awestruck,0.230,0.534,nrc_vad
bewildered,-0.540,0.260,nrc_vad
bitter,-0.564,0.254,nrc_vad
blissful,0.770,0.278,nrc_vad
bored,-0.694,-0.666,nrc_vad
brooding,-0.346,-0.266,nrc_vad
calm,0.750,-0.900,nrc_vad
cheerful,0.990,0.228,nrc_vad
compassionate,0.714,-0.192,nrc_vad
contemptuous,-0.592,0.000,nrc_vad
content,0.528,-0.408,nrc_vad
defiant,-0.500,0.584,nrc_vad
delighted,0.938,0.944,nrc_vad
dependent,-0.292,-0.090,nrc_vad
depressed,-0.952,-0.110,nrc_vad
desperate,-0.834,0.684,nrc_vad
disdainful,-0.806,-0.040,nrc_vad
disgusted,-0.898,0.546,nrc_vad
disoriented,-0.546,0.286,nrc_vad
dispirited,-0.592,-0.440,nrc_vad
distressed,-0.714,0.542,nrc_vad
disturbed,-0.750,0.740,nrc_vad
docile,0.208,-0.482,nrc_vad
droopy,-0.124,-0.300,nrc_vad
dumbstruck,-0.500,-0.889,nrc_vad
eager,0.042,0.624,nrc_vad
ecstatic,0.750,0.538,nrc_vad
elated,0.584,0.897,nrc_vad
embarrassed,-0.632,0.120,nrc_vad
empathetic,1.000,0.333,nrc_vad
energized,0.847,0.868,estimate_from_energetic_invigorated
enraged,-0.834,0.962,nrc_vad
enthusiastic,0.770,0.736,nrc_vad
envious,-0.780,0.508,nrc_vad
euphoric,0.490,0.808,nrc_vad
exasperated,-0.542,0.506,nrc_vad
excited,0.816,0.862,nrc_vad
exuberant,1.000,1.000,nrc_vad
frightened,-0.694,0.634,nrc_vad
frustrated,-0.840,0.302,nrc_vad
fulfilled,0.792,-0.040,nrc_vad
furious,-0.876,0.906,nrc_vad
gloomy,-0.786,-0.180,nrc_vad
grateful,0.916,-0.294,nrc_vad
greedy,-0.750,0.320,nrc_vad
grief-stricken,-0.848,0.191,estimate_from_grief_heartbroken
grumpy,-0.604,0.616,nrc_vad
guilty,-0.730,0.540,nrc_vad
happy,0.985,0.470,nrc_vad
hateful,-0.858,0.638,nrc_vad
heartbroken,-0.836,0.102,nrc_vad
hope,0.854,-0.366,nrc_vad
hopeful,0.894,-0.286,nrc_vad
horrified,-0.920,0.770,nrc_vad
hostile,-0.624,0.754,nrc_vad
humiliated,-0.792,0.424,nrc_vad
hurt,-0.876,0.546,nrc_vad
hysterical,-0.420,0.884,nrc_vad
impatient,-0.500,0.416,nrc_vad
indifferent,-0.208,-0.686,nrc_vad
indignant,-0.480,0.200,nrc_vad
infatuated,0.458,0.528,nrc_vad
inspired,0.934,0.404,nrc_vad
insulted,-0.624,0.380,estimate_from_offended
invigorated,1.000,1.000,nrc_vad
irate,-0.624,0.704,nrc_vad
irritated,-0.580,0.632,nrc_vad
jealous,-0.654,0.710,nrc_vad
joyful,0.990,0.240,nrc_vad
jubilant,0.688,0.346,nrc_vad
kind,0.836,-0.520,nrc_vad
lazy,-0.216,-0.472,nrc_vad
listless,-0.562,-0.300,nrc_vad
lonely,-0.500,-0.548,nrc_vad
loving,0.688,0.224,nrc_vad
mad,-0.562,0.746,nrc_vad
melancholy,-0.624,-0.480,nrc_vad
miserable,-0.876,-0.078,nrc_vad
mortified,-0.674,0.462,nrc_vad
mystified,-0.312,0.200,nrc_vad
nervous,-0.583,0.640,nrc_vad
nostalgic,-0.084,-0.298,nrc_vad
obstinate,-0.708,0.392,nrc_vad
offended,-0.624,0.380,nrc_vad
on edge,-0.310,0.182,nrc_vad_mwe
optimistic,0.958,0.160,nrc_vad
outraged,-0.688,0.392,nrc_vad
overwhelmed,-0.318,0.360,nrc_vad
panicked,-0.800,0.898,nrc_vad
paranoid,-0.756,0.836,nrc_vad
patient,0.166,-0.614,nrc_vad
